# name,mass,radius,orbital_period,temp_calculated,temp_measured,molecules,star_distance
HD 37124 d,0.696,,1862,,,,33
HD 37605 b,2.813,,55.01307,,,,44
HD 37605 c,3.366,,2720,,,,44
HD 38283 b,0.34,,363.2,,,,37.7
HD 38529 b,0.78,,14.3104,,,,39.28
HD 38529 c,17.7,,2134.76,,,,39.28
HD 38801 b,10.7,,696.3,,,,99.4
HD 38858 b,0.0961,,407.15,,,,15.2
HD 39091 b,10.3,,2049,,,,18.32
HD 39194 b,0.0117,,5.6363,,,,25.9
HD 39194 c,0.0187,,14.025,,,,25.9
HD 39194 d,0.0162,,33.941,,,,25.9
HD 40307 b,0.012,,4.3115,,,,12.8
HD 40307 c,6.43,,9.6207,,,,12.8
HD 40307 d,0.0275,,20.4184,,,,12.8
HD 40307 e,0.011,,34.62,,,,12.8
HD 40307 f,0.0114,,51.56,,,,12.8
HD 40307 g,0.0223,,197.8,,,,12.8
HD 40979 b,3.28,,263.1,,,,33.3
HD 41004 A b,2.54,,963,,,,42.5
HD 41004 B b,18.4,1.06,1.32363,,,,43.03
HD 4113 b,1.56,,526.62,,,,44
HD 4203 b,1.82,,437.05,,,,77.5
HD 4203 c,2.17,,6700,,,,77.5
HD 4208 b,0.8,,829,,,,33.9
HD 4308 b,0.0405,,15.609,,,,21.9
HD 4313 b,2.3,,356,,,,137
HD 43197 b,0.6,,327.8,,,,54.9
HD 43691 b,2.49,,36.96,,,,93.2
HD 44219 b,0.58,,472.3,,,,50.43
HD 45184 b,0.04,,5.8872,,,,21.9
HD 45350 b,1.79,,890.76,,,,49
HD 45364 b,0.1872,,226.93,,,,32.6
HD 45364 c,0.6579,,342.85,,,,32.6
HD 45652 b,0.47,,43.6,,,,36
HD 46375 b,0.23,1.02,3.02358,,,,33.4
HD 47186 b,0.07167,,4.0845,,,,37.84
HD 47186 c,0.35061,,1353.6,,,,37.84
HD 47366 b,1.75,,363.3,,,,80
HD 47366 c,1.86,,684.7,,,,80
HD 47536 b,5,,430,,,,121.36
HD 47536 c,7,,2500,,,,121.36
HD 48265 b,1.16,,700,,,,87.4
HD 49674 b,0.1,0.98,4.94739,,,,40.7
HD 50499 b,1.71,,2482.7,,,,47.26
HD 50554 b,5.16,,1293,,,,31.03
HD 51608 b,0.0413,,14.07,,,,34.8
HD 51608 c,0.0565,,95.415,,,,34.8
HD 52265 b,1.05,,119.6,,,,28
HD 52265 c,0.35,,59.9,,,,28
HD 5319 b,1.94,,675,,,,100
HD 5608 b,1.4,,792.6,,,,58.2
HD 564 b,0.33,,492.3,,,,54
HD 5891 b,7.6,,177.11,,,,251
HD 59686 b,5.25,,303,,,,92
HD 60532 b,3.15,,201.83,,,,25.7
HD 60532 c,7.46,,607.06,,,,25.7
HD 62509 b,2.9,,589.64,,,,10.34
HD 63454 b,0.39,1.06,2.81747,,,,35.8
HD 63765 b,0.64,,358,,,,32.6
HD 6434 b,0.39,,21.998,,,,40.32
HD 65216 b,1.26,,572.4,,,,34.3
HD 65216 c,0.17,,152.6,,,,34.3
HD 66141 b,6,,480.5,,,,80.9
HD 66428 b,2.82,,1973,,,,55
HD 67087 b,3.06,,352.2,,,,88.8
HD 67087 c,4.85,,2374,,,,88.8
HD 6718 b,1.56,,2496,,,,55.9
HD 68988 b,1.9,,6.276,,,,58
HD 69830 b,0.033,,8.667,,,,12.6
HD 69830 c,0.038,,31.56,,,,12.6
HD 69830 d,0.058,,197,,,,12.6
HD 70573 b,6.1,,851.8,,,,45.7
HD 70642 b,2,,2231,,,,28.8
HD 7199 b,0.29,,615,,,,36
HD 72659 b,3.15,,3658,,,,49.8
HD 73256 b,1.87,,2.54858,,,,36.5
HD 73267 b,3.06,,1260,,,,54.91
HD 73526 b,2.9,,188.3,,,,99
HD 73526 c,2.5,,377.8,,,,99
HD 73534 b,1.15,,1800,,,,96.99
HD 74156 b,1.778,,51.6385,,,,64.56
HD 74156 c,7.997,,2448.9,,,,64.56
HD 7449 b,1.11,,1275,,,,39
HD 7449 c,2,,4046,,,,39
HD 75289 b,0.47,1.03,3.50928,,,,28.94
HD 75898 b,2.51,,418.2,,,,80.58
HD 76700 b,0.23,0.99,3.97101,,,,59.7
HD 77338 b,0.5,,5.7561,,,,40.75
HD 7924 b,0.0273,1.05,5.39792,826,,,16.8
HD 7924 c,0.0247,,15.299,584,,,16.8
HD 7924 d,0.0203,,24.451,499,,,16.8
HD 79498 b,1.34,,1966,,,,49
HD 80606 b,3.94,0.921,111.43637,,,K,58.4
HD 81040 b,6.86,,1001.7,,,,32.56
HD 81688 b,2.7,,184.02,,,,88.26
HD 82886 b,1.3,,705,,,,125
HD 82943 b,4.8,,442.4,,,,27.46
HD 82943 c,4.78,,219.3,,,,27.46
HD 82943 d,0.29,,1078,,,,27.46
HD 83443 b,0.4,1.04,2.98572,,,,43.54
HD 8535 b,0.68,,1313,,,,52.5
HD 85390 b,0.132,,788,,,,33.96
HD 85390 c,0.2,,3700,,,,33.96
HD 85512 b,0.011,,58.43,,,,11.15
HD 8574 b,2.11,,227.55,,,,44.2
HD 86081 b,1.5,1.08,1.99809,,,,91
HD 86226 b,1.5,,1534,,,,42.48
HD 86264 b,7,,1475,,,,72.6
HD 8673 b,14.2,,1634,,,,38.25
HD 87883 b,12.1,,2754,,,,18.1
HD 88133 b,0.3,1,3.41566,,,,74.5
HD 89307 b,2,,2199,,,,30.9
HD 89744 b,7.2,,256,,,,40
HD 89744 c,3.2,,85.2,,,,40
HD 90156 b,0.057,,49.77,,,,39.6
HD 92788 b,3.86,,325.81,,,,32.82
HD 92788 c,0.9,,162,,,,32.82
HD 93083 b,0.37,,143.58,,,,28.9
HD 93385 b,0.0263,,13.186,,,,42.2
HD 93385 c,0.0318,,46.025,,,,42.2
HD 9446 b,0.7,,30.052,,,,53
HD 9446 c,1.82,,192.9,,,,53
HD 95086 b,5,,,,1000,,90.4
HD 95089 b,1.2,,507,,,,139
HD 95127 b,5.01,,482,,,,300
HD 9578 b,0.62,,494,,,,57.24
HD 95872 b,4.6,,4375,,,,7.56
HD 96063 b,0.9,,361.1,,,,158
HD 96127 b,4,,647.3,,,,540
HD 96167 b,0.68,,498.9,,,,84
HD 96700 b,0.0284,,8.1256,,,,25.6
HD 96700 c,0.04,,103.49,,,,25.6
HD 97658 b,0.0237548375,0.2004642706,9.4903,757,,,21.1
HD 98219 b,1.8,,436.9,,,,134
HD 98649 b,6.8,,4951,,,,40.3
HD 99109 b,0.502,,439.3,,,,60.5
HD 99492 b,0.109,,17.0431,,,,18
HD 99492 c,0.36,,4970,,,,18
HD 99706 b,1.4,,868,,,,129
HD169142 b,30,,,,,,145
HIP 105854 b,8.2,,184.2,,,,80.84
HIP 107773 b,1.98,,144.3,,,,106
HIP 116454 b,0.03719,0.226,9.1265,690,,,55.2
HIP 11915,0.99,,3830,,,,57.3
HIP 12961 b,0.35,,57.435,,,,23
HIP 14810 b,3.88,,6.673855,,,,52.9
HIP 14810 c,1.28,,147.73,,,,52.9
HIP 14810 d,0.57,,962,,,,52.9
HIP 5158 b,1.44,,345.63,,,,45
HIP 5158 c,15.04,,9018,,,,45
HIP 57050 b,0.298,,41.397,,,,11
HIP 57274 b,0.036,,8.1352,,,,25.92
HIP 57274 c,0.41,,32.03,,,,25.92
HIP 57274 d,0.527,,431.7,,,,25.92
HIP 63242 b,9.18,,124.6,,,,135
HIP 65891 b,6,,1084.5,,,,136
HIP 67851 b,1.38,,88.9,,,,65.96
HIP 67851 c,5.98,,2131.8,,,,65.96
HIP 70849 b,9,,10000,,,,24
HIP 73990 b,21,,,,,,125
HIP 73990 c,22,,,,,,125
HIP 74865 b,28,,,,,,115
HIP 75458 b,8.82,,510.702,,,,31.5
HIP 77900 b,20,,,2400,,,
HIP 78530 b,23.04,,,,,,156.7
HIP 79431 b,2.1,,111.7,,,,14.4
HIP 91258 b,1.068,,5.0505,,,,44.9
HIP 97233 b,20,,1058.8,,,,106.5
HN Peg b,16,1.1,,,,,18.4
HR 228 b,2.37,,360.2,,,,
HR 228 c,2.37,,2732,,,,
HR 3549 b,47.5,,,,,,92.5
HR 810 b,2.26,,320.1,,,,17.17
HR 8799 b,7,1.2,164250,,,"CH4, H2O, CO",39.4
HR 8799 c,10,1.3,82145,,,,39.4
HR 8799 d,10,1.2,41054,,,,39.4
HR 8799 e,9,,18000,,,,39.4
HU Aqr(AB) c,5.9,,5646,,,,
HW Vir (AB) b,14.3,,4640,,,,181
K2-16 b,,0.18,7.6188,658,,,324
K2-16 c,,0.227,19.07863,485,,,324
K2-19 b,0.14,0.691,7.9194,854,,,291
K2-19 c,0.05,0.434,11.90715,745,,,291
K2-3  b,0.026,0.194,10.05449,463,,,42
K2-3 c,0.0066,0.165,24.64354,344,,,42
K2-3 d,0.0349,0.135,44.5598,282,,,42
K2-8 b,,0.319,10.35239,631,,,
KELT-1 b,27.38,1.116,1.217514,2423,,,263
KELT-10 b,0.679,1.399,4.166285,1377,,,183
KELT-15 b,0.91,1.443,3.329441,,,,201
KELT-2A b,1.486,1.306,4.1137914,,,,128.9
KELT-3 b,1.418,1.333,2.7033902,,,,178
KELT-6 b,0.442,1.18,7.845582,,,,
KELT-6 c,3.71,,1276,,,,
KELT-7 b,1.28,1.533,2.7347749,2048,,,129
KELT-8 b,0.867,1.86,3.24406,1675,,,236
KIC 10001893 b,,,0.2197,,,,
KIC 10001893 d,,,0.81161,,,,
KIC 10255705 b,,0.65,707.3793,295,,,
KIC 10905746 b,,0.237,9.8844,,,,
KIC 11152511 b,,0.36,287.363,390,,,
KIC 12454613 b,,0.228,736.3819,187,,,
KIC 12557548 b,3,0.0758320561,0.653553,,,,470
KIC 5010054 b,,0.62,904.24,251,,,
KIC 5094412 b,,0.51,276.88,239,,,
KIC 5522786 b,,0.11,757.1639,362,,,
KIC 5732155 b,,1.14,644.1685,301,,,
KIC 6185331 b,,0.72,49.76971,,,,
KIC 6372194 b,,0.74,281.5848,228,,,
KIC 6436029 b,,0.274,505.45,175,,,
KIC 9632895 (AB) b,0.03,0.55,240.503,,,,
KIC 9662267 b,,0.34,466.202,236,,,
KIC 9704149 b,,0.4,697.0159,201,,,
KIC-10024862 b,,0.49,567.0445,,,,
KIC-8012732 b,,0.87,431.4681,,,,
KIC-8552719 b,,0.315,88.4075,,,,
KIC-9413313 b,,,,,,,
KMT-2015-1 b,2.2,,,,,,8200
KOI-1089.02,0.64,0.625,12.21826,,,,
KOI-1257 A b,1.45,0.94,86.647661,511,,,900
KOI-1299 c,2.63,,411,,,,874
KOI-1781 b,,0.168,3.00516,1040,,,
KOI-1843 b,0.001,0.052,0.1768913,,,,
KOI-188 b,0.25,0.978,3.79701816,1070,,,650
KOI-192 b,0.29,1.23,10.290994,1100,,,1100
KOI-195 b,0.34,1.09,3.21751883,1300,,,880
KOI-206 b,2.9,0.7,5.33,,,,
KOI-2138 b,,0.19,23.5541,,,,
KOI-2700 b,0.002705849,0.0945670346,0.910022,,,,
KOI-2828 b,,0.37,505.459,,,,
KOI-2939 b,1.52,1.52,1107.5923,,,,
KOI-368.01,,1.83,110.3216,754,,,
KOI-372 b,3.25,0.882,125.63243,,,,
KOI-372 c,0.1348,,457.57,,,,
KOI-3791 b,,0.57,440.7813,,,,
KOI-4427.01,,0.164,147.6606,,,,240
KOI-5833 b,,0.31,440.167,,,,
KOI-5929 b,,0.37,466.0001,,,,
KOI-620.02,0.0239121543,0.8653775812,130.194,381,,,
KOI-680 b,0.62,0.65,8.6,,,,
KOI-682 b,,0.88,562.70945,,,,
KOI-771 b,,1.23,670.6502,,,,
KOI-830 b,1.27,1.08,3.52563254,1070,,,730
KOI-89 b,,0.45,84.69,,,,
KOI-89 c,,0.43,207.58,,,,
Kapteyn's b,0.0151024132,,48.616,,,,3.91
Kapteyn's c,0.0220243526,,121.54,,,,3.91
Kepler-10 b,0.0104772992,0.1314,0.83749026,2169,,,173
Kepler-10 c,0.0541169808,0.2072,45.294301,584,,,173
Kepler-100 b,0.0231,0.1164,6.887037,,,,310.34
Kepler-100 c,0.0027,0.1981,12.815909,,,,310.34
Kepler-100 d,0.0094,0.1351,35.33313,,,,310.34
Kepler-101 b,,0.524,3.487691,,,,
Kepler-101 c,,0.119,6.029809,,,,
Kepler-102 b,0.0013,0.042,5.28696,792,,,
Kepler-102 c,0.009,0.052,7.07142,718,,,
Kepler-102 d,0.0082,0.104,10.3117,,,,
Kepler-102 e,0.0281,0.198,16.14569,579,,,
Kepler-102 f,0.002,0.079,27.4536,457,,,
Kepler-103 b,0.031,0.3101,15.965316,,,,473.56
Kepler-103 c,0.114,0.4745,179.6133,,,,473.56
Kepler-104 b,,0.277,11.427548,,,,
Kepler-104 c,,0.279,23.668205,,,,
Kepler-104 d,,0.319,51.755394,,,,
Kepler-105 c,,0.144,7.125939,,,,
Kepler-106 b,0.00047,0.073,6.16486,,,,
Kepler-106 c,0.03285,0.223,13.5708,,,,
Kepler-106 d,0.025,0.085,23.9802,,,,
Kepler-106 e,0.03514,0.228,43.8445,,,,
Kepler-107 b,,0.141,3.180026,,,,
Kepler-107 c,,0.1485,4.901441,,,,
Kepler-107 d,,0.09492,7.95825,,,,
Kepler-107 e,,0.261,14.749176,,,,
Kepler-108 b,,0.8529,49.18354,,,,
Kepler-108 c,,0.734,190.323494,,,,
Kepler-109 b,0.0041,0.2086,6.481637,,,,464.73
Kepler-109 c,0.00698,0.235,21.22262,,,,464.73
Kepler-11 b,0.0059780386,0.1605855305,10.30375,,,,
Kepler-11 c,0.0091243747,0.256044707,13.02502,,,,
Kepler-11 d,0.0229682535,0.2783482529,22.68719,,,,
Kepler-11 e,0.03,0.374,31.9959,,,,
Kepler-11 f,0.0062926722,0.2221433172,46.68876,,,,
Kepler-11 g,0.95,0.3274,118.37774,,,,
Kepler-110 b,,0.163,12.691112,,,,
Kepler-110 c,,0.197,31.719775,,,,
Kepler-111 b,,0.141,3.341815,,,,
Kepler-111 c,,0.651,224.784608,,,,
Kepler-112 b,,0.211,8.408878,,,,
Kepler-112 c,,0.214,28.574263,,,,
Kepler-113 b,0.0368,0.162,4.754,,,,
Kepler-113 c,0.027,0.194,8.92507,,,,
Kepler-114 b,0.0220243526,0.1052727367,5.188548,722,,,
Kepler-114 c,0.1258534437,0.143,8.041,623,,,
Kepler-114 d,0.0151,0.226,11.776,549,,,
Kepler-115 b,,0.097,2.403679,,,,
Kepler-115 c,,0.232,8.990889,,,,
Kepler-116 b,,0.305,5.968734,,,,
Kepler-116 c,,0.205,13.07163,,,,
Kepler-117 b,,0.697,18.795952,,,,
Kepler-117 c,,1.008,50.790412,,,,
Kepler-118 b,,0.175,7.518496,,,,
Kepler-118 c,,0.685,20.17202,,,,
Kepler-119 b,,0.321,2.422082,,,,
Kepler-119 c,,0.082,4.125103,,,,
Kepler-12 b,0.431,1.695,4.4379637,1477,,,
Kepler-120 b,,0.192,6.312501,,,,
Kepler-120 c,,0.136,12.794585,,,,
Kepler-121 b,,0.209,3.177422,,,,
Kepler-121 c,,0.203,41.008011,,,,
Kepler-122 b,,0.209,5.766193,,,,
Kepler-122 c,,0.524,12.465988,,,,
Kepler-122 d,,0.196,21.587475,,,,
Kepler-122 e,,0.232,37.993273,,,,
Kepler-123 b,,0.262,17.232366,,,,
Kepler-123 c,,0.132,26.695074,,,,
Kepler-124 b,,0.065,3.410493,,,,
Kepler-124 c,,0.156,13.821375,,,,
Kepler-124 d,,0.099,30.950851,,,,
Kepler-125 b,,0.211,4.164389,,,,
Kepler-125 c,,0.066,5.774464,,,,
Kepler-126 b,,0.1284,10.495634,,,,
Kepler-126 c,,0.1336,21.86964,,,,
Kepler-126 d,,0.2242,100.28208,,,,
Kepler-127 b,,0.136,14.43577,,,,
Kepler-127 c,,0.2131,29.39344,,,,
Kepler-127 d,,0.238,48.62997,,,,
Kepler-128 b,0.0941,0.101,15.09,,,,
Kepler-128 c,0.104,0.101,22.804,,,,
Kepler-129 b,,0.2149,15.791619,,,,
Kepler-129 c,,0.225,82.20017,,,,
Kepler-13 b,6.5,1.406,1.7633587,,2750,,
Kepler-130 b,,0.08707,8.4572,,,,
Kepler-130 c,,0.2508,27.508686,,,,
Kepler-130 d,,0.117,87.5211,,,,
Kepler-131 b,0.05075,0.215,16.092,,,,
Kepler-131 c,0.026,0.075,25.516,,,,
Kepler-132 b,,0.108,6.178196,,,,
Kepler-132 c,,0.114,6.414914,,,,
Kepler-132 d,,0.138,18.010199,,,,
Kepler-133 b,,0.157,8.129976,,,,
Kepler-133 c,,0.253,31.517586,,,,
Kepler-134 b,,0.178,5.317429,,,,
Kepler-134 c,,0.112,10.105785,,,,
Kepler-135 b,,0.161,6.00253,,,,
Kepler-135 c,,0.103,11.448708,,,,
Kepler-136 b,,0.183,11.5789,,,,
Kepler-136 c,,0.178,16.399235,,,,
Kepler-137 b,,0.131,8.436387,,,,
Kepler-137 c,,0.168,18.735753,,,,
Kepler-138 b,0.00021,0.052,10.31320643,,,,
Kepler-138 c,0.00318,0.144,13.78164,,,,
Kepler-138 d,0.0031777995,0.1436348356,23.08933,431,,,
Kepler-139 b,,0.262,15.771044,,,,
Kepler-139 c,,0.302,157.072878,,,,
Kepler-14 b,8.4,1.136,6.790123,1573,,,980
Kepler-140 b,,0.144,3.25427,,,,
Kepler-140 c,,0.161,91.353282,,,,
Kepler-141 b,,0.062,3.107675,,,,
Kepler-141 c,,0.126,7.010606,,,,
Kepler-142 b,,0.178,2.024152,,,,
Kepler-142 c,,0.255,4.761702,,,,
Kepler-142 d,,0.193,41.809118,,,,
Kepler-143 b,,0.215,16.007583,,,,
Kepler-143 c,,0.301,27.082511,,,,
Kepler-144 b,,0.119,5.885273,,,,
Kepler-144 c,,0.12,10.104665,,,,
Kepler-145 b,0.108,0.228,22.95102,,,,584.1
Kepler-145 c,0.234,0.35,42.88254,,,,584.1
Kepler-146 b,,0.331,31.158799,,,,
Kepler-146 c,,0.279,76.732171,,,,
Kepler-147 b,,0.136,12.610584,,,,
Kepler-147 c,,0.217,33.416423,,,,
Kepler-148 b,,0.161,1.729366,,,,
Kepler-148 c,,0.321,4.180043,,,,
Kepler-149 b,,0.376,29.198943,,,,
Kepler-149 c,,0.144,55.328328,,,,
Kepler-149 d,,0.353,160.018032,,,,
Kepler-15 b,0.66,0.96,4.942782,1225,,,
Kepler-150 b,,0.112,3.428054,,,,
Kepler-150 c,,0.329,7.381998,,,,
Kepler-150 d,,0.249,12.56093,,,,
Kepler-150 e,,0.278,30.826557,,,,
Kepler-151 b,,0.273,15.228958,,,,
Kepler-151 c,,0.186,24.674612,,,,
Kepler-152 b,,0.249,18.207973,,,,
Kepler-152 c,,0.213,88.255055,,,,
Kepler-153 b,,0.261,18.870227,,,,
Kepler-153 c,,0.226,46.90232,,,,
Kepler-154 b,,0.202,33.040532,,,,
Kepler-154 c,,0.263,62.303276,,,,
Kepler-155 b,,0.186,5.931194,,,,
Kepler-155 c,,0.2,52.661793,,,,
Kepler-156 b,,0.205,4.973456,,,,
Kepler-156 c,,0.227,15.906801,,,,
Kepler-157 b,,0.118,1.732342,,,,
Kepler-157 c,,0.2,13.5405,,,,
Kepler-158 b,,0.189,16.709184,,,,
Kepler-158 c,,0.17,28.551383,,,,
Kepler-159 b,,0.212,10.139623,,,,
Kepler-159 c,,0.304,43.595792,,,,
Kepler-16 (AB) b,0.333,0.7538,228.776,,,,
Kepler-160 b,,0.137,4.309427,,,,
Kepler-160 c,,0.322,13.699087,,,,
Kepler-161 b,,0.189,4.921355,,,,
Kepler-161 c,,0.183,7.06424,,,,
Kepler-162 b,,0.112,6.919798,,,,
Kepler-162 c,,0.27,19.446355,,,,
Kepler-163 b,,0.094,7.810937,,,,
Kepler-163 c,,0.202,21.347262,,,,
Kepler-164 b,,0.126,5.03503,,,,
Kepler-164 c,,0.244,10.945723,,,,
Kepler-164 d,,0.219,28.986769,,,,
Kepler-165 b,,0.207,8.180848,,,,
Kepler-165 c,,0.199,15.31299,,,,
Kepler-166 b,,0.203,7.650254,,,,
Kepler-166 c,,0.212,34.260281,,,,
Kepler-167 b,,0.129,4.393147,,,,
Kepler-167 c,,0.122,7.406097,,,,
Kepler-168 b,,0.13,4.425391,,,,
Kepler-168 c,,0.24,13.193242,,,,
Kepler-169 b,,0.101,3.250619,,,,
Kepler-169 c,,0.108,6.195469,,,,
Kepler-169 d,,0.112,8.348125,,,,
Kepler-169 e,,0.196,13.767102,,,,
Kepler-169 f,,0.23,87.090195,,,,
Kepler-17 b,2.45,1.312,1.4857108,1655,,,800
Kepler-170 b,,0.285,7.930592,,,,
Kepler-170 c,,0.255,16.665863,,,,
Kepler-171 b,,0.209,4.166972,,,,
Kepler-171 c,,0.228,11.463462,,,,
Kepler-171 d,,0.169,39.595519,,,,
Kepler-172 b,,0.21,2.940309,,,,
Kepler-172 c,,0.255,6.388996,,,,
Kepler-172 d,,0.201,14.627119,,,,
Kepler-172 e,,0.246,35.118736,,,,
Kepler-173 b,,0.115,4.263742,,,,
Kepler-173 c,,0.217,8.005777,,,,
Kepler-174 b,,0.175,13.98179,,,,
Kepler-174 c,,0.133,44.000529,,,,
Kepler-174 d,,0.195,247.35373,,,,
Kepler-175 b,,0.228,11.903515,,,,
Kepler-175 c,,0.277,34.035257,,,,
Kepler-176 b,,0.128,5.433074,,,,
Kepler-176 c,,0.232,12.759712,,,,
Kepler-176 d,,0.224,25.751974,,,,
Kepler-177 b,0.00535,0.259,35.855,,,,
Kepler-177 c,0.0198,0.635,49.412,,,,
Kepler-178 b,,0.259,9.576694,,,,
Kepler-178 c,,0.257,20.552802,,,,
Kepler-178 d,,0.352,96.678988,,,,
Kepler-179 b,,0.146,2.735926,,,,
Kepler-179 c,,0.178,6.40013,,,,
Kepler-18 b,0.0216153289,0.1784283673,3.504725,,,,
Kepler-18 c,0.0541169808,0.4888937263,7.64159,,,,
Kepler-18 d,0.0512852783,0.6218228599,14.85888,,,,
Kepler-180 b,,0.134,13.817124,,,,
Kepler-180 c,,0.269,41.885775,,,,
Kepler-181 b,,0.113,3.137873,,,,
Kepler-181 c,,0.178,4.302149,,,,
Kepler-182 b,,0.23,9.825792,,,,
Kepler-182 c,,0.306,20.684342,,,,
Kepler-183 b,,0.184,5.687945,,,,
Kepler-183 c,,0.203,11.637071,,,,
Kepler-184 b,,0.211,10.687576,,,,
Kepler-184 c,,0.176,20.303005,,,,
Kepler-184 d,,0.222,29.022358,,,,
Kepler-185 b,,0.104,1.6329,,,,
Kepler-185 c,,0.18,20.729042,,,,
Kepler-186 b,,0.102,3.886803,,,,151
Kepler-186 c,,0.12,7.267277,,,,151
Kepler-186 d,,0.139,13.343058,,,,151
Kepler-186 e,,0.119,22.407793,,,,151
Kepler-186 f,,0.0990277438,129.9459,,,,151
Kepler-187 b,,0.126,4.938864,,,,
Kepler-187 c,,0.238,10.640263,,,,
Kepler-188 b,,0.15,2.061897,,,,
Kepler-188 c,,0.285,5.996553,,,,
Kepler-189 b,,0.108,10.399931,,,,
Kepler-189 c,,0.212,20.134866,,,,
Kepler-19 b,0.064,0.198,9.2869944,,,,
Kepler-190 b,,0.139,2.019999,,,,
Kepler-190 c,,0.13,3.763024,,,,
Kepler-191 b,,0.12,9.939632,,,,
Kepler-191 c,,0.166,17.738506,,,,
Kepler-192 b,,0.244,9.926746,,,,
Kepler-192 c,,0.249,21.2234,,,,
Kepler-193 b,,0.213,11.38848,,,,
Kepler-193 c,,0.245,50.697494,,,,
Kepler-194 b,,0.135,2.092281,,,,
Kepler-194 c,,0.231,17.308032,,,,
Kepler-194 d,,0.214,52.814973,,,,
Kepler-195 b,,0.181,8.307872,,,,
Kepler-195 c,,0.138,34.096863,,,,
Kepler-196 b,,0.17,20.739886,,,,
Kepler-196 c,,0.2,47.427737,,,,
Kepler-197 b,,0.09492,5.599293,,,,
Kepler-197 c,0.017,0.1078,10.349711,,,,
Kepler-197 d,,0.111,15.67787,,,,
Kepler-197 e,,0.0877,25.2097,,,,
Kepler-198 b,,0.252,17.790037,,,,
Kepler-198 c,,0.22,49.567416,,,,
Kepler-199 b,,0.277,23.637604,,,,
Kepler-199 c,,0.29,67.093408,,,,
Kepler-20 b,0.02658654,0.1695069489,3.6961219,,,,290
Kepler-20 c,0.0493974766,0.2729954019,10.854092,,,,290
Kepler-20 d,0.06,0.25,77.61185,,,,290
Kepler-20 e,0.0097,0.078,6.098493,,,,290
Kepler-20 f,0.045,0.09,19.57706,,,,290
Kepler-200 b,,0.19,8.594805,,,,
Kepler-200 c,,0.142,10.222157,,,,
Kepler-201 b,,0.219,25.672083,,,,
Kepler-201 c,,0.254,151.884058,,,,
Kepler-202 b,,0.145,4.069427,,,,
Kepler-202 c,,0.165,16.282493,,,,
Kepler-203 b,,0.229,3.162697,,,,
Kepler-203 c,,0.22,5.370647,,,,
Kepler-203 d,,0.128,11.32972,,,,
Kepler-204 b,,0.226,14.400974,,,,
Kepler-204 c,,0.16,25.660593,,,,
Kepler-205 b,,0.135,2.75564,,,,
Kepler-205 c,,0.146,20.306546,,,,
Kepler-206 b,,0.107,7.781987,,,,
Kepler-206 c,,0.158,13.137471,,,,
Kepler-206 d,,0.106,23.44281,,,,
Kepler-207 b,,0.14,1.611865,,,,
Kepler-207 c,,0.134,3.071571,,,,
Kepler-207 d,,0.295,5.868075,,,,
Kepler-208 b,,0.145,4.22864,,,,
Kepler-208 c,,0.124,7.466623,,,,
Kepler-208 d,,0.107,11.131786,,,,
Kepler-208 e,,0.132,16.259458,,,,
Kepler-209 b,,0.202,16.087845,,,,
Kepler-209 c,,0.277,41.749882,,,,
Kepler-21 b,0.033,0.1459,2.785755,,,,108
Kepler-210 b,,0.3419,2.4532,,,,
Kepler-210 c,,0.436,7.9725,,,,
Kepler-211 b,,0.112,4.138575,,,,
Kepler-211 c,,0.115,6.04045,,,,
Kepler-212 b,,0.097,16.257582,,,,
Kepler-212 c,,0.244,31.805174,,,,
Kepler-213 b,,0.145,2.46236,,,,
Kepler-213 c,,0.209,4.822962,,,,
Kepler-214 b,,0.233,15.660544,,,,
Kepler-214 c,,0.19,28.7798,,,,
Kepler-215 b,,0.145,9.360672,,,,
Kepler-215 c,,0.158,14.667108,,,,
Kepler-215 d,,0.213,30.864423,,,,
Kepler-215 e,,0.156,68.16101,,,,
Kepler-216 b,,0.21,7.693641,,,,
Kepler-216 c,,0.271,17.406669,,,,
Kepler-217 b,,0.199,5.374943,,,,
Kepler-217 c,,0.165,8.586004,,,,
Kepler-218 b,,0.132,3.619337,,,,
Kepler-218 c,,0.28,44.699576,,,,
Kepler-219 b,,0.263,4.585512,,,,
Kepler-219 c,,0.319,22.714613,,,,
Kepler-219 d,,0.251,47.903645,,,,
Kepler-22 b,0.11,0.21,289.8623,,,,190
Kepler-220 b,,0.072,4.159807,,,,
Kepler-220 c,,0.14,9.034199,,,,
Kepler-220 d,,0.087,28.122397,,,,
Kepler-220 e,,0.119,45.902733,,,,
Kepler-221 b,,0.153,2.795906,,,,
Kepler-221 c,,0.261,5.690586,,,,
Kepler-221 d,,0.244,10.04156,,,,
Kepler-221 e,,0.235,18.369917,,,,
Kepler-222 b,,0.282,3.936981,,,,
Kepler-222 c,,0.414,10.08881,,,,
Kepler-222 d,,0.329,28.081912,,,,
Kepler-223 b,,0.151,7.384108,,,,
Kepler-223 c,,0.178,9.848183,,,,
Kepler-223 d,,0.266,14.788759,,,,
Kepler-223 e,,0.214,19.721734,,,,
Kepler-224 b,,0.124,3.132924,,,,
Kepler-224 c,,0.278,5.925003,,,,
Kepler-224 d,,0.205,11.349393,,,,
Kepler-224 e,,0.176,18.643577,,,,
Kepler-225 b,,0.107,6.738975,,,,
Kepler-225 c,,0.164,18.794234,,,,
Kepler-226 b,,0.138,3.940997,,,,
